,loss,mse,mae,mape,rmse,val_loss,val_mse,val_mae,val_mape,val_rmse
14,0.046502068638801575,0.05412178114056587,0.18572239577770233,217955.859375,0.23264089226722717,0.03655490651726723,0.03665045648813248,0.14368775486946106,194151.484375,0.1914430856704712
15,0.044689688831567764,0.0549134723842144,0.1858612298965454,210753.0625,0.2343362271785736,0.034047964960336685,0.03576410934329033,0.1440071165561676,184463.9375,0.18911400437355042
16,0.04199349135160446,0.053434740751981735,0.1764008104801178,176347.390625,0.23115955293178558,0.0342055968940258,0.03996311500668526,0.1525389552116394,232569.34375,0.19990776479244232
17,0.03913050517439842,0.05149444192647934,0.17712366580963135,205796.828125,0.226923868060112,0.03011319413781166,0.0354035422205925,0.14286115765571594,189896.6875,0.1881582885980606
18,0.03897896781563759,0.05471539497375488,0.1848379373550415,223238.0,0.23391321301460266,0.029790937900543213,0.03798409923911095,0.1452620029449463,187772.40625,0.19489510357379913
19,0.03652355819940567,0.052843984216451645,0.1831587553024292,229624.5,0.22987818717956543,0.027040651068091393,0.035494785755872726,0.14356903731822968,215822.65625,0.18840059638023376
20,0.033607013523578644,0.049753572791814804,0.17662480473518372,247148.4375,0.22305509448051453,0.026180686429142952,0.03640271723270416,0.14525265991687775,231362.109375,0.1907949596643448
21,0.030916709452867508,0.04706212505698204,0.16991956532001495,202932.9375,0.2169380635023117,0.02379557117819786,0.03410498797893524,0.14061106741428375,222658.859375,0.18467535078525543
22,0.030620604753494263,0.04864588752388954,0.17546430230140686,216330.296875,0.22055812180042267,0.024606209248304367,0.03765937685966492,0.14339719712734222,189610.0,0.19406023621559143
23,0.029590876772999763,0.04839055612683296,0.17298360168933868,200340.640625,0.21997852623462677,0.02334301359951496,0.03686048835515976,0.14479035139083862,211967.53125,0.19199085235595703
24,0.02929832600057125,0.04917218163609505,0.17337289452552795,200808.109375,0.2217480093240738,0.021656235679984093,0.034700214862823486,0.14211924374103546,216251.375,0.18627993762493134
25,0.026628630235791206,0.04519576206803322,0.164617657661438,190386.078125,0.2125929445028305,0.020564952865242958,0.033874038606882095,0.14091482758522034,217451.71875,0.18404901027679443
26,0.02334687113761902,0.039719440042972565,0.1552245020866394,174025.546875,0.19929736852645874,0.019736042246222496,0.0331680066883564,0.1335449516773224,156261.046875,0.18212085962295532
27,0.02233855612576008,0.03879290074110031,0.1523110419511795,182225.015625,0.19695913791656494,0.019496630877256393,0.033660490065813065,0.1382841020822525,195560.015625,0.18346795439720154
28,0.02401421032845974,0.04281967878341675,0.16438914835453033,174178.765625,0.20692916214466095,0.0220055989921093,0.039169974625110626,0.15601128339767456,143790.34375,0.19791404902935028
29,0.02904907427728176,0.05003495514392853,0.16111794114112854,169562.484375,0.22368493676185608,0.02159794792532921,0.03583887591958046,0.1409701257944107,151353.59375,0.18931157886981964
30,0.023818448185920715,0.04168524593114853,0.15709348022937775,188097.71875,0.2041696459054947,0.020940138027071953,0.03713544085621834,0.1529131382703781,258808.125,0.19270557165145874
31,0.024483779445290565,0.04444636404514313,0.16703687608242035,206548.609375,0.21082305908203125,0.019058870151638985,0.034162577241659164,0.1416325569152832,222914.71875,0.18483121693134308
32,0.0251914095133543,0.04636764153838158,0.17041254043579102,209940.71875,0.21533147990703583,0.018566451966762543,0.03355873376131058,0.13716015219688416,200331.125,0.18319043517112732
33,0.020074160769581795,0.03670438379049301,0.1460198163986206,178079.03125,0.19158387184143066,0.01710173487663269,0.031082557514309883,0.13518013060092926,217948.984375,0.1763024628162384
34,0.026776950806379318,0.04910427704453468,0.16957275569438934,186230.671875,0.22159485518932343,0.02121022343635559,0.038285162299871445,0.14261896908283234,155113.046875,0.19566594064235687
35,0.021738838404417038,0.039771661162376404,0.1573847383260727,196899.109375,0.19942833483219147,0.017763663083314896,0.03237806633114815,0.13965970277786255,237453.765625,0.17993906140327454
36,0.0200499240309,0.03699563816189766,0.150321826338768,186429.875,0.19234250485897064,0.016649266704916954,0.030533427372574806,0.1365043669939041,239210.09375,0.17473816871643066
37,0.02208900824189186,0.04109328240156174,0.1585998386144638,183087.609375,0.20271477103233337,0.018087325617671013,0.033300917595624924,0.1418941617012024,239921.375,0.18248538672924042
38,0.01985042542219162,0.0367598719894886,0.14801433682441711,188173.65625,0.1917286366224289,0.016931699588894844,0.031175954267382622,0.13867200911045074,245301.1875,0.17656713724136353
39,6469.7451171875,33007304704.0,6469.91064453125,1732102.75,181679.125,0.036491282284259796,0.04024894908070564,0.1604962795972824,282505.0625,0.20062141120433807
40,0.04183875396847725,0.050943177193403244,0.18641000986099243,261201.265625,0.22570595145225525,0.034912534058094025,0.03698689490556717,0.14811375737190247,225367.53125,0.19231978058815002
41,0.03965232893824577,0.04631270840764046,0.1724889576435089,229653.484375,0.2152038812637329,0.034407421946525574,0.03584829717874527,0.14719358086585999,202675.09375,0.18933646380901337
42,0.03826320543885231,0.04345043748617172,0.16627871990203857,217319.765625,0.20844769477844238,0.0342528410255909,0.035502851009368896,0.147459015250206,199026.515625,0.18842200934886932
43,0.0380164198577404,0.04294070601463318,0.16448701918125153,202539.359375,0.2072213888168335,0.03435163572430611,0.035716429352760315,0.14850296080112457,196679.453125,0.18898791074752808
44,0.03670673817396164,0.04037109389901161,0.15990012884140015,201912.984375,0.20092558860778809,0.03408179432153702,0.03520127758383751,0.1476483941078186,197290.671875,0.18762002885341644
45,0.036409977823495865,0.03980594128370285,0.15896931290626526,194521.28125,0.1995142698287964,0.0338728129863739,0.03479193523526192,0.14718510210514069,197415.140625,0.18652595579624176
46,0.037910956889390945,0.04276514798402786,0.161971315741539,178087.203125,0.20679736137390137,0.03370656073093414,0.03443296626210213,0.14690132439136505,200240.921875,0.18556122481822968
47,0.03577426075935364,0.03851933404803276,0.1564841866493225,192415.625,0.19626343250274658,0.03357531502842903,0.034164365381002426,0.1465587466955185,199828.140625,0.18483604490756989
48,0.03562507405877113,0.038224440068006516,0.15611466765403748,189063.90625,0.19551071524620056,0.03367405757308006,0.03435991704463959,0.1469784677028656,197566.9375,0.1853642761707306
49,0.03650742769241333,0.039933495223522186,0.158816397190094,181797.25,0.1998336762189865,0.03378390148282051,0.03453964740037918,0.1471276432275772,195599.25,0.18584845960140228
